time,power
2021-12-22 21:27:10,93.08
2021-12-22 21:27:20,93.1
2021-12-22 21:27:30,93.17
2021-12-22 21:27:40,93.22
2021-12-22 21:27:50,93.28
2021-12-22 21:28:00,93.35
2021-12-22 21:28:10,93.41
2021-12-22 21:28:20,93.48
2021-12-22 21:28:30,93.55
2021-12-22 21:28:40,93.6
2021-12-22 21:28:50,93.68
2021-12-22 21:29:00,93.74
2021-12-22 21:29:10,93.8
2021-12-22 21:29:20,93.88
2021-12-22 21:29:30,93.93
2021-12-22 21:29:40,93.99
2021-12-22 21:29:50,94.04
2021-12-22 21:30:00,94.1
2021-12-22 21:30:10,94.16
2021-12-22 21:30:20,94.21
2021-12-22 21:30:30,94.27
2021-12-22 21:30:40,94.33
2021-12-22 21:30:50,94.39
2021-12-22 21:31:00,94.44
2021-12-22 21:31:10,94.51
2021-12-22 21:31:20,94.57
2021-12-22 21:31:30,94.61
2021-12-22 21:31:40,94.65
2021-12-22 21:31:50,94.7
2021-12-22 21:32:00,94.77
2021-12-22 21:32:10,94.82
2021-12-22 21:32:20,94.86
2021-12-22 21:32:30,94.92
2021-12-22 21:32:40,94.96
2021-12-22 21:32:50,95.03
2021-12-22 21:33:00,95.08
2021-12-22 21:33:10,95.13
2021-12-22 21:33:20,95.17
2021-12-22 21:33:30,95.23
2021-12-22 21:33:40,95.28
2021-12-22 21:33:50,95.33
2021-12-22 21:34:00,95.4
2021-12-22 21:34:10,95.44
2021-12-22 21:34:20,95.51
2021-12-22 21:34:30,95.55
2021-12-22 21:34:40,95.58
2021-12-22 21:34:50,95.65
2021-12-22 21:35:00,95.71
2021-12-22 21:35:10,95.75
2021-12-22 21:35:20,95.8
2021-12-22 21:35:30,95.86
2021-12-22 21:35:40,95.89
2021-12-22 21:35:50,95.93
2021-12-22 21:36:00,95.98
2021-12-22 21:36:10,96.04
2021-12-22 21:36:20,96.09
2021-12-22 21:36:30,96.14
2021-12-22 21:36:40,96.19
2021-12-22 21:36:50,96.24
2021-12-22 21:37:00,96.28
2021-12-22 21:37:10,96.34
2021-12-22 21:37:20,96.38
2021-12-22 21:37:30,96.41
2021-12-22 21:37:40,96.47
2021-12-22 21:37:50,96.52
2021-12-22 21:38:00,96.56
2021-12-22 21:38:10,96.62
2021-12-22 21:38:20,96.66
2021-12-22 21:38:30,96.7
2021-12-22 21:38:40,96.75
2021-12-22 21:38:50,96.8
2021-12-22 21:39:00,96.84
2021-12-22 21:39:10,96.87
2021-12-22 21:39:20,96.91
2021-12-22 21:39:30,96.97
2021-12-22 21:39:40,97.02
2021-12-22 21:39:50,97.06
2021-12-22 21:40:00,97.1
2021-12-22 21:40:10,97.14
2021-12-22 21:40:20,97.19
2021-12-22 21:40:30,97.21
2021-12-22 21:40:40,97.26
2021-12-22 21:40:50,97.31
2021-12-22 21:41:00,97.35
2021-12-22 21:41:10,97.39
2021-12-22 21:41:20,97.43
2021-12-22 21:41:30,97.47
2021-12-22 21:41:40,97.51
2021-12-22 21:41:50,97.54
2021-12-22 21:42:00,97.58
2021-12-22 21:42:10,97.63
2021-12-22 21:42:20,97.66
2021-12-22 21:42:30,97.7
2021-12-22 21:42:40,97.73
2021-12-22 21:42:50,97.78
2021-12-22 21:43:00,97.81
2021-12-22 21:43:10,97.84
2021-12-22 21:43:20,97.87
2021-12-22 21:43:30,97.93
2021-12-22 21:43:40,97.96
2021-12-22 21:43:50,97.99
2021-12-22 21:44:00,98.03
2021-12-22 21:44:10,98.07
2021-12-22 21:44:20,98.1
2021-12-22 21:44:30,98.13
2021-12-22 21:44:40,98.17
2021-12-22 21:44:50,98.19
2021-12-22 21:45:00,98.23
2021-12-22 21:45:10,98.27
2021-12-22 21:45:20,98.3
2021-12-22 21:45:30,98.34
2021-12-22 21:45:40,98.37
2021-12-22 21:45:50,98.4
2021-12-22 21:46:00,98.43
2021-12-22 21:46:10,98.46
2021-12-22 21:46:20,98.5
2021-12-22 21:46:30,98.54
2021-12-22 21:46:40,98.56
2021-12-22 21:46:50,98.58
2021-12-22 21:47:00,98.61
2021-12-22 21:47:10,98.66
2021-12-22 21:47:20,98.67
2021-12-22 21:47:30,98.71
2021-12-22 21:47:40,98.74
2021-12-22 21:47:50,98.76
2021-12-22 21:48:00,98.8
2021-12-22 21:48:10,98.82
2021-12-22 21:48:20,98.85
2021-12-22 21:48:30,98.88
2021-12-22 21:48:40,98.91
2021-12-22 21:48:50,98.93
