time,power
2021-11-17 21:13:00,97.61
2021-11-17 21:13:10,97.56
2021-11-17 21:13:20,97.61
2021-11-17 21:13:30,97.69
2021-11-17 21:13:40,97.79
2021-11-17 21:13:50,97.82
2021-11-17 21:14:00,97.88
2021-11-17 21:14:10,97.95
2021-11-17 21:14:20,98.02
2021-11-17 21:14:30,98.05
2021-11-17 21:14:40,98.12
2021-11-17 21:14:50,98.18
2021-11-17 21:15:00,98.25
2021-11-17 21:15:10,98.26
2021-11-17 21:15:20,98.27
2021-11-17 21:15:30,98.38
2021-11-17 21:15:40,98.35
2021-11-17 21:15:50,98.38
2021-11-17 21:16:00,98.4
2021-11-17 21:16:10,98.44
2021-11-17 21:16:20,98.46
2021-11-17 21:16:30,98.49
2021-11-17 21:16:40,98.52
2021-11-17 21:16:50,98.57
2021-11-17 21:17:00,98.54
2021-11-17 21:17:10,98.57
2021-11-17 21:17:20,98.57
2021-11-17 21:17:30,98.58
2021-11-17 21:17:40,98.62
2021-11-17 21:17:50,98.6
2021-11-17 21:18:00,98.61
2021-11-17 21:18:10,98.68
2021-11-17 21:18:20,98.67
2021-11-17 21:18:30,98.68
2021-11-17 21:18:40,98.7
2021-11-17 21:18:50,98.7
2021-11-17 21:19:00,98.7
2021-11-17 21:19:10,98.72
2021-11-17 21:19:20,98.72
2021-11-17 21:19:30,98.76
2021-11-17 21:19:40,98.77
2021-11-17 21:19:50,98.77
2021-11-17 21:20:00,98.78
2021-11-17 21:20:10,98.78
2021-11-17 21:20:20,98.81
2021-11-17 21:20:30,98.82
2021-11-17 21:20:40,98.8
2021-11-17 21:20:50,98.83
2021-11-17 21:21:00,98.82
2021-11-17 21:21:10,98.85
2021-11-17 21:21:20,98.88
2021-11-17 21:21:30,98.87
2021-11-17 21:21:40,98.9
2021-11-17 21:21:50,98.85
2021-11-17 21:22:00,98.84
2021-11-17 21:22:10,98.86
2021-11-17 21:22:20,98.89
2021-11-17 21:22:30,98.87
2021-11-17 21:22:40,98.86
2021-11-17 21:22:50,98.88
2021-11-17 21:23:00,98.9
2021-11-17 21:23:10,98.91
2021-11-17 21:23:20,98.92
2021-11-17 21:23:30,98.92
2021-11-17 21:23:40,98.96
2021-11-17 21:23:50,98.98
2021-11-17 21:24:00,98.99
2021-11-17 21:24:10,99.0
2021-11-17 21:24:20,98.97
2021-11-17 21:24:30,98.95
2021-11-17 21:24:40,99.02
2021-11-17 21:24:50,99.03
2021-11-17 21:25:00,98.96
2021-11-17 21:25:10,98.97
2021-11-17 21:25:20,99.0
2021-11-17 21:25:30,98.98
2021-11-17 21:25:40,99.01
2021-11-17 21:25:50,99.01
2021-11-17 21:26:00,99.02
2021-11-17 21:26:10,99.0
2021-11-17 21:26:20,99.05
2021-11-17 21:26:30,99.03
2021-11-17 21:26:40,99.08
2021-11-17 21:26:50,99.08
2021-11-17 21:27:00,99.09
2021-11-17 21:27:10,99.08
2021-11-17 21:27:20,99.08
2021-11-17 21:27:30,99.08
2021-11-17 21:27:40,99.1
2021-11-17 21:27:50,99.08
2021-11-17 21:28:00,99.09
2021-11-17 21:28:10,99.08
2021-11-17 21:28:20,99.09
2021-11-17 21:28:30,99.09
2021-11-17 21:28:40,99.08
2021-11-17 21:28:50,99.13
2021-11-17 21:29:00,99.1
2021-11-17 21:29:10,99.14
2021-11-17 21:29:20,99.14
2021-11-17 21:29:30,99.18
2021-11-17 21:29:40,99.13
2021-11-17 21:29:50,99.14
2021-11-17 21:30:00,99.13
2021-11-17 21:30:10,99.17
2021-11-17 21:30:20,99.16
2021-11-17 21:30:30,99.16
2021-11-17 21:30:40,99.17
2021-11-17 21:30:50,99.2
2021-11-17 21:31:00,99.2
2021-11-17 21:31:10,99.14
2021-11-17 21:31:20,99.15
2021-11-17 21:31:30,99.15
2021-11-17 21:31:40,99.19
2021-11-17 21:31:50,99.21
2021-11-17 21:32:00,99.22
2021-11-17 21:32:10,99.22
2021-11-17 21:32:20,99.22
2021-11-17 21:32:30,99.18
2021-11-17 21:32:40,99.24
2021-11-17 21:32:50,99.24
2021-11-17 21:33:00,99.22
2021-11-17 21:33:10,99.24
2021-11-17 21:33:20,99.23
2021-11-17 21:33:30,99.23
2021-11-17 21:33:40,99.26
2021-11-17 21:33:50,99.3
2021-11-17 21:34:00,99.29
2021-11-17 21:34:10,99.3
2021-11-17 21:34:20,99.28
2021-11-17 21:34:30,99.3
2021-11-17 21:34:40,99.3
2021-11-17 21:34:50,99.3
2021-11-17 21:35:00,99.31
2021-11-17 21:35:10,99.32
2021-11-17 21:35:20,99.36
2021-11-17 21:35:30,99.33
2021-11-17 21:35:40,99.31
2021-11-17 21:35:50,99.33
2021-11-17 21:36:00,99.35
2021-11-17 21:36:10,99.34
2021-11-17 21:36:20,99.33
2021-11-17 21:36:30,99.37
2021-11-17 21:36:40,99.34
2021-11-17 21:36:50,99.34
2021-11-17 21:37:00,99.35
2021-11-17 21:37:10,99.36
2021-11-17 21:37:20,99.38
2021-11-17 21:37:30,99.34
2021-11-17 21:37:40,99.36
2021-11-17 21:37:50,99.39
2021-11-17 21:38:00,99.42
2021-11-17 21:38:10,99.39
2021-11-17 21:38:20,99.43
2021-11-17 21:38:30,99.42
2021-11-17 21:38:40,99.43
2021-11-17 21:38:50,99.42
2021-11-17 21:39:00,99.43
2021-11-17 21:39:10,99.46
2021-11-17 21:39:20,99.46
2021-11-17 21:39:30,99.46
2021-11-17 21:39:40,99.46
2021-11-17 21:39:50,99.48
2021-11-17 21:40:00,99.46
2021-11-17 21:40:10,99.48
2021-11-17 21:40:20,99.47
2021-11-17 21:40:30,99.49
2021-11-17 21:40:40,99.5
2021-11-17 21:40:50,99.5
2021-11-17 21:41:00,99.5
2021-11-17 21:41:10,99.51
2021-11-17 21:41:20,99.52
2021-11-17 21:41:30,99.55
2021-11-17 21:41:40,99.55
2021-11-17 21:41:50,99.55
2021-11-17 21:42:00,99.51
2021-11-17 21:42:10,99.57
2021-11-17 21:42:20,99.57
2021-11-17 21:42:30,99.56
2021-11-17 21:42:40,99.58
2021-11-17 21:42:50,99.57
2021-11-17 21:43:00,99.59
2021-11-17 21:43:10,99.61
2021-11-17 21:43:20,99.59
2021-11-17 21:43:30,99.61
2021-11-17 21:43:40,99.64
2021-11-17 21:43:50,99.62
2021-11-17 21:44:00,99.62
2021-11-17 21:44:10,99.65
2021-11-17 21:44:20,99.63
2021-11-17 21:44:30,99.65
2021-11-17 21:44:40,99.65
2021-11-17 21:44:50,99.68
2021-11-17 21:45:00,99.67
2021-11-17 21:45:10,99.66
2021-11-17 21:45:20,99.67
2021-11-17 21:45:30,99.7
2021-11-17 21:45:40,99.67
2021-11-17 21:45:50,99.66
2021-11-17 21:46:00,99.7
2021-11-17 21:46:10,99.68
2021-11-17 21:46:20,99.7
2021-11-17 21:46:30,99.67
2021-11-17 21:46:40,99.7
2021-11-17 21:46:50,99.73
2021-11-17 21:47:00,99.76
2021-11-17 21:47:10,99.76
2021-11-17 21:47:20,99.71
2021-11-17 21:47:30,99.73
2021-11-17 21:47:40,99.81
2021-11-17 21:47:50,99.78
2021-11-17 21:48:00,99.77
2021-11-17 21:48:10,99.78
2021-11-17 21:48:20,99.8
2021-11-17 21:48:30,99.8
2021-11-17 21:48:40,99.82
2021-11-17 21:48:50,99.8
2021-11-17 21:49:00,99.82
2021-11-17 21:49:10,99.82
2021-11-17 21:49:20,99.83
2021-11-17 21:49:30,99.85
2021-11-17 21:49:40,99.84
2021-11-17 21:49:50,99.84
2021-11-17 21:50:00,99.84
2021-11-17 21:50:10,99.88
2021-11-17 21:50:20,99.86
2021-11-17 21:50:30,99.89
2021-11-17 21:50:40,99.9
2021-11-17 21:50:50,99.87
2021-11-17 21:51:00,99.89
2021-11-17 21:51:10,99.88
2021-11-17 21:51:20,99.92
2021-11-17 21:51:30,99.9
2021-11-17 21:51:40,99.9
2021-11-17 21:51:50,99.93
2021-11-17 21:52:00,99.93
2021-11-17 21:52:10,99.93
2021-11-17 21:52:20,99.9
2021-11-17 21:52:30,99.93
2021-11-17 21:52:40,99.92
2021-11-17 21:52:50,99.92
2021-11-17 21:53:00,99.95
2021-11-17 21:53:10,99.93
2021-11-17 21:53:20,99.96
2021-11-17 21:53:30,99.97
2021-11-17 21:53:40,99.97
2021-11-17 21:53:50,99.97
2021-11-17 21:54:00,99.99
2021-11-17 21:54:10,99.98
2021-11-17 21:54:20,99.99
2021-11-17 21:54:30,100.0
2021-11-17 21:54:40,99.99
2021-11-17 21:54:50,99.99
2021-11-17 21:55:00,100.01
2021-11-17 21:55:10,100.03
2021-11-17 21:55:20,100.07
2021-11-17 21:55:30,100.03
2021-11-17 21:55:40,100.05
2021-11-17 21:55:50,100.06
2021-11-17 21:56:00,100.06
2021-11-17 21:56:10,100.09
2021-11-17 21:56:20,100.09
2021-11-17 21:56:30,100.08
2021-11-17 21:56:40,100.06
2021-11-17 21:56:50,100.09
2021-11-17 21:57:00,100.09
2021-11-17 21:57:10,100.12
2021-11-17 21:57:20,100.09
2021-11-17 21:57:30,100.09
2021-11-17 21:57:40,100.12
2021-11-17 21:57:50,100.12
2021-11-17 21:58:00,100.1
2021-11-17 21:58:10,100.11
2021-11-17 21:58:20,100.14
2021-11-17 21:58:30,100.13
2021-11-17 21:58:40,100.11
2021-11-17 21:58:50,100.13
2021-11-17 21:59:00,100.13
2021-11-17 21:59:10,100.17
2021-11-17 21:59:20,100.17
2021-11-17 21:59:30,100.18
2021-11-17 21:59:40,100.18
2021-11-17 21:59:50,100.21
2021-11-17 22:00:00,100.23
2021-11-17 22:00:10,100.21
2021-11-17 22:00:20,100.23
2021-11-17 22:00:30,100.22
2021-11-17 22:00:40,100.24
2021-11-17 22:00:50,100.2
2021-11-17 22:01:00,100.23
2021-11-17 22:01:10,100.26
2021-11-17 22:01:20,100.23
2021-11-17 22:01:30,100.24
2021-11-17 22:01:40,100.27
2021-11-17 22:01:50,100.23
2021-11-17 22:02:00,100.25
