time,power
2021-09-25 19:44:40,92.98
2021-09-25 19:44:50,93.17
2021-09-25 19:45:00,93.29
2021-09-25 19:45:10,93.42
2021-09-25 19:45:20,93.59
2021-09-25 19:45:30,93.71
2021-09-25 19:45:40,93.87
2021-09-25 19:45:50,94.02
2021-09-25 19:46:00,94.15
2021-09-25 19:46:10,94.29
2021-09-25 19:46:20,94.44
2021-09-25 19:46:30,94.57
2021-09-25 19:46:40,94.66
2021-09-25 19:46:50,94.79
2021-09-25 19:47:00,94.93
2021-09-25 19:47:10,95.02
2021-09-25 19:47:20,95.13
2021-09-25 19:47:30,95.24
2021-09-25 19:47:40,95.35
2021-09-25 19:47:50,95.45
2021-09-25 19:48:00,95.55
2021-09-25 19:48:10,95.67
2021-09-25 19:48:20,95.75
2021-09-25 19:48:30,95.84
2021-09-25 19:48:40,95.94
2021-09-25 19:48:50,96.03
2021-09-25 19:49:00,96.12
2021-09-25 19:49:10,96.21
2021-09-25 19:49:20,96.3
2021-09-25 19:49:30,96.37
2021-09-25 19:49:40,96.46
2021-09-25 19:49:50,96.53
2021-09-25 19:50:00,96.6
2021-09-25 19:50:10,96.7
2021-09-25 19:50:20,96.79
2021-09-25 19:50:30,96.87
2021-09-25 19:50:40,96.94
2021-09-25 19:50:50,97.01
2021-09-25 19:51:00,97.09
2021-09-25 19:51:10,97.16
2021-09-25 19:51:20,97.24
2021-09-25 19:51:30,97.3
2021-09-25 19:51:40,97.37
2021-09-25 19:51:50,97.44
2021-09-25 19:52:00,97.51
2021-09-25 19:52:10,97.59
2021-09-25 19:52:20,97.65
2021-09-25 19:52:30,97.72
2021-09-25 19:52:40,97.79
2021-09-25 19:52:50,97.86
2021-09-25 19:53:00,97.91
2021-09-25 19:53:10,97.98
2021-09-25 19:53:20,98.04
2021-09-25 19:53:30,98.1
2021-09-25 19:53:40,98.15
2021-09-25 19:53:50,98.24
2021-09-25 19:54:00,98.29
2021-09-25 19:54:10,98.35
2021-09-25 19:54:20,98.43
2021-09-25 19:54:30,98.48
2021-09-25 19:54:40,98.54
2021-09-25 19:54:50,98.6
2021-09-25 19:55:00,99.03
2021-09-25 19:55:10,98.94
2021-09-25 19:55:20,99.35
2021-09-25 19:55:30,99.21
2021-09-25 19:55:40,99.26
2021-09-25 19:55:50,99.46
2021-09-25 19:56:00,99.41
2021-09-25 19:56:10,99.69
2021-09-25 19:56:20,99.69
2021-09-25 19:56:30,99.62
2021-09-25 19:56:40,99.72
2021-09-25 19:56:50,99.77
2021-09-25 19:57:00,99.83
2021-09-25 19:57:10,99.87
2021-09-25 19:57:20,99.91
2021-09-25 19:57:30,99.93
2021-09-25 19:57:40,99.95
2021-09-25 19:57:50,99.98
2021-09-25 19:58:00,100.0
2021-09-25 19:58:10,100.06
2021-09-25 19:58:20,100.11
2021-09-25 19:58:30,100.15
2021-09-25 19:58:40,100.21
2021-09-25 19:58:50,100.25
2021-09-25 19:59:00,100.29
2021-09-25 19:59:10,100.34
2021-09-25 19:59:20,100.39
2021-09-25 19:59:30,100.44
2021-09-25 19:59:40,100.49
2021-09-25 19:59:50,100.52
2021-09-25 20:00:00,100.57
2021-09-25 20:00:10,100.62
2021-09-25 20:00:20,100.68
2021-09-25 20:00:30,100.72
2021-09-25 20:00:40,100.76
2021-09-25 20:00:50,100.84
2021-09-25 20:01:00,100.92
2021-09-25 20:01:10,100.95
2021-09-25 20:01:20,100.95
2021-09-25 20:01:30,101.01
2021-09-25 20:01:40,101.05
2021-09-25 20:01:50,101.14
2021-09-25 20:02:00,101.13
2021-09-25 20:02:10,101.16
2021-09-25 20:02:20,101.2
2021-09-25 20:02:30,101.25
2021-09-25 20:02:40,101.27
2021-09-25 20:02:50,101.3
2021-09-25 20:03:00,101.35
2021-09-25 20:03:10,101.38
2021-09-25 20:03:20,101.44
2021-09-25 20:03:30,101.47
2021-09-25 20:03:40,101.51
2021-09-25 20:03:50,101.16
2021-09-25 20:04:00,101.12
2021-09-25 20:04:10,101.22
2021-09-25 20:04:20,101.24
2021-09-25 20:04:30,101.29
2021-09-25 20:04:40,101.31
2021-09-25 20:04:50,101.37
2021-09-25 20:05:00,101.42
2021-09-25 20:05:10,101.43
2021-09-25 20:05:20,101.49
2021-09-25 20:05:30,101.53
2021-09-25 20:05:40,101.56
2021-09-25 20:05:50,101.56
2021-09-25 20:06:00,101.66
2021-09-25 20:06:10,101.7
2021-09-25 20:06:20,101.72
2021-09-25 20:06:30,101.76
2021-09-25 20:06:40,101.8
2021-09-25 20:06:50,101.91
2021-09-25 20:07:00,102.05
2021-09-25 20:07:10,102.06
2021-09-25 20:07:20,102.09
2021-09-25 20:07:30,102.13
2021-09-25 20:07:40,102.18
2021-09-25 20:07:50,102.23
2021-09-25 20:08:00,102.26
2021-09-25 20:08:10,102.29
2021-09-25 20:08:20,102.11
2021-09-25 20:08:30,102.14
2021-09-25 20:08:40,102.15
2021-09-25 20:08:50,102.17
2021-09-25 20:09:00,102.2
2021-09-25 20:09:10,102.18
2021-09-25 20:09:20,102.21
2021-09-25 20:09:30,102.25
2021-09-25 20:09:40,102.28
2021-09-25 20:09:50,102.31
2021-09-25 20:10:00,102.34
2021-09-25 20:10:10,102.38
2021-09-25 20:10:20,102.4
2021-09-25 20:10:30,102.44
2021-09-25 20:10:40,102.47
2021-09-25 20:10:50,102.51
2021-09-25 20:11:00,102.54
2021-09-25 20:11:10,102.56
2021-09-25 20:11:20,102.6
2021-09-25 20:11:30,102.61
2021-09-25 20:11:40,102.65
2021-09-25 20:11:50,102.68
2021-09-25 20:12:00,102.71
2021-09-25 20:12:10,102.74
2021-09-25 20:12:20,102.75
2021-09-25 20:12:30,102.78
2021-09-25 20:12:40,102.82
2021-09-25 20:12:50,102.85
2021-09-25 20:13:00,102.88
2021-09-25 20:13:10,102.9
2021-09-25 20:13:20,102.92
2021-09-25 20:13:30,102.95
2021-09-25 20:13:40,102.97
2021-09-25 20:13:50,103.01
2021-09-25 20:14:00,103.04
2021-09-25 20:14:10,103.05
2021-09-25 20:14:20,103.09
2021-09-25 20:14:30,103.1
2021-09-25 20:14:40,103.13
2021-09-25 20:14:50,103.14
2021-09-25 20:15:00,103.17
2021-09-25 20:15:10,103.2
2021-09-25 20:15:20,103.2
2021-09-25 20:15:30,103.24
2021-09-25 20:15:40,103.26
2021-09-25 20:15:50,103.28
2021-09-25 20:16:00,103.3
2021-09-25 20:16:10,103.31
2021-09-25 20:16:20,103.32
2021-09-25 20:16:30,103.37
2021-09-25 20:16:40,103.39
2021-09-25 20:16:50,103.41
2021-09-25 20:17:00,103.43
2021-09-25 20:17:10,103.47
2021-09-25 20:17:20,103.49
2021-09-25 20:17:30,103.51
2021-09-25 20:17:40,103.54
2021-09-25 20:17:50,103.53
2021-09-25 20:18:00,103.52
2021-09-25 20:18:10,103.53
2021-09-25 20:18:20,103.53
2021-09-25 20:18:30,103.56
2021-09-25 20:18:40,103.56
2021-09-25 20:18:50,103.57
2021-09-25 20:19:00,103.59
2021-09-25 20:19:10,103.62
2021-09-25 20:19:20,103.63
2021-09-25 20:19:30,103.65
2021-09-25 20:19:40,103.66
2021-09-25 20:19:50,103.67
2021-09-25 20:20:00,103.68
2021-09-25 20:20:10,103.68
2021-09-25 20:20:20,103.71
2021-09-25 20:20:30,103.75
2021-09-25 20:20:40,103.79
2021-09-25 20:20:50,103.79
2021-09-25 20:21:00,103.79
2021-09-25 20:21:10,103.77
2021-09-25 20:21:20,103.8
2021-09-25 20:21:30,103.79
2021-09-25 20:21:40,103.76
2021-09-25 20:21:50,103.83
2021-09-25 20:22:00,103.82
2021-09-25 20:22:10,103.84
2021-09-25 20:22:20,103.86
2021-09-25 20:22:30,103.87
2021-09-25 20:22:40,103.89
2021-09-25 20:22:50,103.86
2021-09-25 20:23:00,103.88
2021-09-25 20:23:10,103.92
2021-09-25 20:23:20,103.88
2021-09-25 20:23:30,103.92
2021-09-25 20:23:40,103.92
2021-09-25 20:23:50,103.93
2021-09-25 20:24:00,103.92
2021-09-25 20:24:10,103.94
2021-09-25 20:24:20,103.95
2021-09-25 20:24:30,103.93
2021-09-25 20:24:40,103.96
2021-09-25 20:24:50,103.99
2021-09-25 20:25:00,103.95
2021-09-25 20:25:10,103.99
2021-09-25 20:25:20,103.99
2021-09-25 20:25:30,103.99
2021-09-25 20:25:40,104.01
2021-09-25 20:25:50,104.01
2021-09-25 20:26:00,104.02
2021-09-25 20:26:10,104.04
2021-09-25 20:26:20,104.04
2021-09-25 20:26:30,104.06
2021-09-25 20:26:40,104.02
2021-09-25 20:26:50,104.05
2021-09-25 20:27:00,104.07
2021-09-25 20:27:10,104.07
2021-09-25 20:27:20,104.09
2021-09-25 20:27:30,104.08
2021-09-25 20:27:40,104.08
2021-09-25 20:27:50,104.09
2021-09-25 20:28:00,104.11
2021-09-25 20:28:10,104.13
2021-09-25 20:28:20,104.11
2021-09-25 20:28:30,104.15
2021-09-25 20:28:40,104.14
2021-09-25 20:28:50,104.16
2021-09-25 20:29:00,104.15
2021-09-25 20:29:10,104.16
2021-09-25 20:29:20,104.16
2021-09-25 20:29:30,104.17
2021-09-25 20:29:40,104.2
2021-09-25 20:29:50,104.23
2021-09-25 20:30:00,104.2
2021-09-25 20:30:10,104.2
2021-09-25 20:30:20,104.2
